TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1565632573695, 5.075912, 4.2990603, -2.0309765, -1.7771046, 2.7825248, -1.6948358, -1.7662084, 1.3230585
1565632573699, 7.5761313, 6.1959157, -4.3301954, 0.50774413, 2.8418884, -1.6245283, -1.9164108, 1.3283848
1565632573699, 7.9968243, 6.454578, -4.5696974, 1.1855347, 2.906166, -1.5616777, -2.0719395, 1.3092101
1565632573699, 10.03643, 7.937095, -5.494175, 2.7470875, 2.958198, -1.4615428, -2.227468, 1.2857742
1565632573699, 10.449052, 8.076006, -5.4175344, 3.8224514, 3.012833, -1.365669, -2.3542345, 1.2921658
1565632573700, 9.977786, 7.9562554, -5.5468655, 2.3423293, 3.0472355, -1.2793826, -2.4469125, 1.28897
1565632573700, 10.188812, 7.95865, -5.5396805, 3.1278956, 3.065305, -1.2058793, -2.4916537, 1.3166668
1565632573700, 9.659186, 7.7287283, -5.621111, 1.4034815, 3.0935311, -1.1867046, -2.5023062, 1.3784522
1565632573701, 9.48833, 7.6233473, -5.489385, 1.334026, 3.0601642, -1.180313, -2.4309335, 1.4359765
1565632573701, 9.428665, 7.585027, -5.5947657, 0.2562671, 3.040118, -1.24849, -2.3094933, 1.5329156
1565632573701, 9.500121, 7.563472, -5.6809864, -0.87897223, 3.0378585, -1.3475596, -2.1720743, 1.6415725
1565632573705, 9.59648, 7.673643, -5.738467, -0.52690434, 3.0384169, -1.4945661, -1.9675435, 1.768339
1565632573710, 10.240692, 7.9634404, -6.0330544, -2.2489235, 3.0862906, -1.6628778, -1.780057, 1.8951055
1565632573719, 10.5276785, 8.480764, -6.1575956, -0.9963282, 3.1066344, -1.8322549, -1.5456988, 1.9760655
1565632573719, 11.383803, 9.010064, -6.5360084, -2.3854396, 3.2053041, -2.0367856, -1.3422332, 2.0793962
1565632573727, 11.630452, 9.529783, -6.6198344, -0.7927515, 3.2583423, -2.1731396, -1.1483551, 2.139051
1565632573727, 12.107894, 9.932146, -6.8976564, -0.613125, 3.3249397, -2.3073628, -1.0066749, 2.1720743
1565632573739, 12.532188, 10.360855, -7.0437527, 0.3065625, 3.3643906, -2.3776703, -0.91186637, 2.198706
1565632573739, 12.999334, 10.732083, -7.077283, 1.9279908, 3.369165, -2.4192157, -0.8404937, 2.1891184
1565632573748, 13.587998, 11.244617, -7.3838453, 1.9160157, 3.3489087, -2.4149544, -0.85966843, 2.15503
1565632573748, 14.249487, 11.441009, -7.4030056, 4.164939, 3.2938287, -2.364887, -0.89375687, 2.111354
1565632573759, 14.420291, 11.6948805, -7.6401124, 3.5781593, 3.211961, -2.2775354, -1.0013486, 2.0314593
1565632573759, 15.259407, 12.1307745, -7.5946074, 5.2929935, 3.1138592, -2.159291, -1.1142666, 1.9473034
